source_ip,total_uploads,unique_file_types,unique_protocols,unique_signatures,avg_vtpercent,max_vtpercent,known_malware,malware_ratio
77.76.163.50,37,8,1,10,0.0,0.0,29,0.7837837837837838
78.190.136.43,1,1,1,1,0.0,0.0,0,0.0
78.191.199.26,2,2,1,2,0.0,0.0,2,1.0
80.242.32.114,10,5,1,7,0.0,0.0,9,0.9
80.80.168.93,1,1,1,1,0.0,0.0,1,1.0
80.82.70.106,1,1,1,1,0.0,0.0,0,0.0
80.86.235.42,14,7,1,6,0.0,0.0,11,0.7857142857142857
82.194.58.119,3,3,1,3,0.0,0.0,2,0.6666666666666666
83.234.102.199,7,4,1,4,0.0,0.0,5,0.7142857142857143
86.120.156.174,14,6,1,7,0.0,0.0,12,0.8571428571428571
86.98.3.192,2,2,1,1,0.0,0.0,0,0.0
88.214.26.97,1,1,1,1,0.0,0.0,0,0.0
89.148.8.194,13,6,1,6,0.0,0.0,11,0.8461538461538461
89.47.10.135,11,4,1,4,0.0,0.0,8,0.7272727272727273
91.207.211.85,39,8,1,9,0.0,0.0,35,0.8974358974358975
92.118.37.97,2,2,1,2,0.0,0.0,2,1.0
92.119.160.52,1,1,1,1,0.0,0.0,1,1.0
92.63.196.10,1,1,1,1,0.0,0.0,1,1.0
92.63.196.3,1,1,1,1,0.0,0.0,1,1.0
93.126.87.175,2,2,1,2,0.0,0.0,1,0.5
94.245.132.153,9,3,1,4,0.0,0.0,9,1.0
94.66.210.12,14,6,1,6,0.0,0.0,11,0.7857142857142857
94.71.192.149,5,4,1,3,0.0,0.0,3,0.6
95.129.237.98,23,5,1,5,0.0,0.0,20,0.8695652173913043
95.216.12.100,1,1,1,1,0.0,0.0,1,1.0
95.220.10.205,24,7,1,9,0.0,0.0,18,0.75
95.5.170.181,9,3,1,6,0.0,0.0,8,0.8888888888888888
95.59.79.228,2,2,1,2,0.0,0.0,2,1.0
98.197.201.188,2,1,1,2,0.0,0.0,1,0.5
